№з/п,Повне найменування політичної партії,Дата реєстрації політичної партії(дд.мм.рррр),Номер свідоцтва про реєстрацію політичної партії,Адреса місцезнаходження керівних органів місцевої організації партії (юридична адреса)
1.,Політична партія «Республіканська платформа»,05.11.1990,№ 4,"вул. Кирилівська, буд. 63 Д, м. Київ, 04080"
2.,Партія Зелених України,24.05.1991,№ 80,"м. Київ, вул. Малопідвальна, буд 12/10, кв. 15"
3.,Демократична партія України,28.06.1991,№ 94,"01032, м. Київ, вулиця Саксаганського, будинок 133-А. (В ЄРГФ місцезнаходження –04060, м. Київ, вул. Подвойського,буд. №4)"
4.,Ліберальна партія України,10.10.1991,№ 132,"м. Київ, вул. Велика Васильківська,буд. 81, к. 20"
5.,Соціалістична партія України,25.11.1991,№ 157,"02100, м. Київ, вул. Бажова, буд. 12"
6.,Селянська партія України,03.03.1992,№ 214,"м. Київ, вул. Чигоріна, 59"
7.,Ліберально-демократична партія України,17.07.1992,№ 268,"м. Київ, вул. Братиславська, б.40, кв.110"
8.,ПОЛІТИЧНА ПАРТІЯ «СПРАВЖНІ ДІЇ»,30.10.1992,№ 318,"вул. Мінська, буд.5, м. Запоріжжя, 69041"
9.,Всеукраїнське об’єднання «ЧЕРКАЩАНИ»,23.11.1992,№ 325,"04050, м .Київ, віл. Січових стрільців , будинок 81, офіс 1"
10.,Конгрес Українських Націоналістів,26.01.1993,№ 385,"м. Київ, вул. Хрещатик, 21, пом. 111"
11.,Політична партія «Народний Рух України»,01.02.1993,№ 391,"м. Київ, вул. О. Гончара, 33"
12.,Партія ветеранів Афганістану,09.02.1993,№ 398,"м. Київ, Львівська площа, 8"
13.,Соціал-демократична партія України,04.03.1993,№ 419,"м. Київ, вул. Панаса Мирного, 27, к. 50"
14.,Партія «Віче»,14.05.1993,№ 457,"м. Київ, вул. Щербакова, 61-Б, кв.19,"
15.,ПОЛІТИЧНА ПАРТІЯ «КРАЇНА»,21.05.1993,№ 460,"м.Київ, вул. Микільсько-Слобідська, 2-Б, кв. 61"
16.,Слов’янська партія,10.06.1993,№ 469,"Донецька обл., м. Донецьк, вул. Постишева, 70"
17.,Політична партія «Організація Українських Націоналістів»,17.11.1993,№ 518,"м. Київ, вул. Гоголівська, 39-а"
18.,Політична партія Всеукраїнське об’єднання «Громада»,22.03.1994,№ 551,"м. Київ, пров. Лабораторний, 1"
19.,Народно-Демократична партія патріотів України,22.12.1994,№ 614,"м. Київ, вул. Інститутська, б. 22/7, кв. 34"
20.,Всеукраїнське об’єднання «Свобода»,16.10.1995,№ 686,"м. Київ, вул. Вишняківська, 6а, кв. 70"
21.,Всеукраїнське об’єднання «ДЕМОКРАТИ (Демократична партія)»,25.01.1996,№ 709,"02096, м. Київ, вул. Новодарницька, буд. 6, кв. 53"
22.,Народно-демократична партія (НДП),30.05.1996,№ 744,"м. Київ, вул. Горького, 107-а"
23.,Соціал-демократична партія України (об’єднана),01.07.1996,№ 751,"м. Київ, вул. Івана Франка, 18"
24.,Прогресивна соціалістична партія України,09.07.1996,№ 753,"м. Київ, вул. П. Мирного, 27, кв. 51"
25.,Народна Партія,30.12.1996,№ 812,"м. Київ, вул. Рейтерська, 6-а"
26.,Партія «Жінки України»,21.03.1997,№ 836,"01103, м. Київ, вул. Кіквідзе, 3, кв. 3"
27.,Партія Християнсько-Демократичний Союз,27.03.1997,№ 840,"м. Київ, вул. Б. Хмельницького, б. 3-а"
28.,Партія «Союз»,11.06.1997,№ 867,"м. Київ, вул. Почайнинська, 28а"
29.,Політична партія «Справжня Україна»,11.06.1997,№ 868,"м. Київ, бул. Дружби Народів, б. 5"
30.,Партія захисників Вітчизни,07.07.1997,№ 876,"01001, м. Київ, вул. Хрещатик, будинок 10, корпус Б, квартира 17"
31.,Республіканська Християнська партія,24.07.1997,№ 886,"м. Київ, вул. Шовковична, буд. 29, кв. 16"
32.,Політична партія «ПРАВИЙ СЕКТОР»,29.09.1997,№ 923,"м. Київ, вул. В. Касіяна, буд. 2а, кв. 21"
33.,Партія «Реформи і порядок»,24.10.1997,№ 932,"м. Київ, вул. Інститутська, 28"
34.,ПОЛІТИЧНА ПАРТІЯ «ПАРТІЯ РЕГІОНІВ»,06.11.1997,№ 939,"м. Київ, вул. Кудрявська, 3/5"
35.,Партія «НАРОДНИЙ БЛОК»,19.01.1998,№ 967,"01024, м. Київ, вул. Лютеранська, 26/17, літера «А»"
36.,Партія «За Права Людини»,20.01.1998,№ 968,"м. Київ, вул. Вишняківська, б. 9, кв. 159"
37.,ПАРТІЯ «РУСЬ»,30.09.1998,№ 1070,"Чернігівська обл., Ріпкинський р-н,смт Любеч, вул. Радянська, 22"
38.,ПОЛІТИЧНА ПАРТІЯ «СПРАВЕДЛИВОСТІ ТА РОЗВИТКУ»,20.10.1998,№ 1080,"м. Київ, вул. Чигоріна, 18"
39.,Політична Партія  «Україна – Вперед!»,11.12.1998,№ 1102,"01024, м.Київ, вул. Круглоуніверситетська, буд. 3-5, офіс 74"
40.,Патріотична партія України (ППУ),31.12.1998,№ 1109,"м. Київ, вул. Шолом Алейхема, 6, к. 148"
41.,Політична партія малого і середнього бізнесу України,04.01.1999,№ 1110,"м. Київ, вул. І. Кудрі, 20-А, кв.4"
42.,Політична партія «Держава»,11.01.1999,№ 1113,"м. Київ, вул. Г. Сковороди, 17-в"
43.,Політична партія «ДОВІРЯЙ ДІЛАМ»,26.01.1999,№ 1115,"65039, Одеська обл., м. Одеса,вул. Транспортна, 10, кв. 12"
44.,Партія «Громадська сила»,30.03.1999,№ 1152,"49044, Дніпропетровська обл., м. Дніпро, вул. Барикадна, буд.15-А, поверх 5."
